0	0.733196	0.314513	0.067625	0.115625
0	0.072417	0.560700	0.059667	0.137600
0	0.185667	0.179438	0.053167	0.116375
0	0.239417	0.180875	0.055167	0.116250
0	0.293750	0.182188	0.058000	0.116375
0	0.347513	0.183663	0.059975	0.115925
0	0.455625	0.188188	0.062917	0.115875
0	0.561083	0.191750	0.064667	0.116500
0	0.612833	0.194000	0.063833	0.115000
0	0.664083	0.196000	0.065500	0.112750
0	0.764833	0.200813	0.067500	0.111125
0	0.814413	0.203169	0.066008	0.110913
0	0.863150	0.206581	0.066200	0.111588
0	0.269042	0.855813	0.070583	0.128875
0	0.253938	0.562206	0.061625	0.135588
0	0.372500	0.565044	0.066350	0.135238
0	0.431733	0.565462	0.067867	0.135325
0	0.490675	0.567187	0.069317	0.135875
0	0.073317	0.297737	0.058583	0.120275
0	0.411067	0.302969	0.063933	0.117288
0	0.466225	0.303912	0.064783	0.115825
0	0.520713	0.305575	0.064242	0.114850
0	0.575154	0.308419	0.066692	0.117412
0	0.884775	0.321019	0.069600	0.114962
